personId,source,sourceID
843,Cybersecurity,161
844,Shipping,603
845,Eyeglasses,227
846,Steel,658
847,Hedge funds,312
848,Renewable energy,571
849,Metals,419
850,Diversified,187
851,Consumer goods,145
852,Chemicals,109
853,Virgin,736
854,Finance,243
855,Spirits,638
856,Diamond jewelry,178
857,Cable television,87
858,Johnson & Johnson,364
858,Sports,641
859,Investments,360
860,Estee Lauder,223
861,Tobacco,700
862,Online retail,478
863,Web hosting,747
864,TD Ameritrade,671
865,Real estate,560
866,Pharmaceuticals,517
867,Publishing,552
868,Flavorings,255
869,Pharmaceuticals,517
870,Software,619
871,Zoom Video Communications,758
872,Bloomberg LP,76
873,Scaffolding,583
873,Cement mixers,102
874,Hedge funds,312
875,Hearing aids,308
876,Quartz products,554
877,Campbell Soup,90
878,Beer,60
879,Car dealerships,92
880,Surveillance equipment,670
881,Shopping malls,606
882,Homebuilding,323
883,Diversified,187
884,Investments,360
885,Movie making,438
886,Home furnishings,318
887,Fertilizer,239
888,Discount brokerage,184
889,Casinos,99
889,Real estate,560
890,Telecom,681
891,Venture capital,729
892,Software,619
893,Finance and investments,244
894,Fintech,250
895,Hedge fund,311
896,Investments,360
897,Furniture,270
898,Retail,573
899,Fashion retail,232
899,Investments,360
900,Fashion retail,232
900,Investments,360
901,Chemicals,109
902,Supermarkets,669
902,Investments,360
903,Household chemicals,328
904,Fashion,230
905,Chemicals,109
906,Biotech,70
907,Satellite TV,582
908,Yahoo,756
909,Logistics,386
909,Real estate,560
910,Retail,573
911,Software services,621
912,Department stores,176
913,Investment,357
914,Pharmaceuticals,517
915,Investments,360
916,Samsung,579
917,Lithium,380
918,Manufacturing,397
919,Pharmaceuticals,517
919,Power,538
920,Pharmaceuticals,517
920,Power,538
921,Mining,426
921,Commodities,132
922,Real estate,560
923,Cars,98
924,Construction,140
925,Private equity,549
926,Energy drinks,218
927,Ticketing service,693
928,Oil & gas,463
928,Investments,360
929,Packaging,489
930,Retail,573
931,Investment banking,358
932,Medical equipment,410
933,Transport,711
933,Engineering,220
933,Real estate,560
934,Software,619
935,Software,619
936,Electronic trading,210
937,Wine,752
938,Casinos,99
938,Hotels,327
939,Video games,731
940,Auto parts,37
941,Auto parts,37
942,Online gambling,473
943,Investments,360
944,Flavorings,255
945,Paints,492
946,Paints,492
947,Investments,360
948,Aviation,44
949,Real estate,560
950,Digital advertising,181
951,Netflix,448
952,Education,200
953,Cosmetics,155
954,Palm oil,493
955,Estee Lauder,223
956,Meat processing,404
957,Glass,283
958,Chemical industry,107
959,Mining,426
959,Commodities,132
960,Readymade garments,558
961,Diversified,187
962,Private equity,549
963,Real estate,560
964,Real estate,560
965,Banking,49
966,Hotels,327
966,Investments,360
967,Diversified,187
968,Fashion,230
969,Publishing,552
970,Real estate,560
971,Stock brokerage,662
972,Nutrition,459
972,Wellness products,749
973,Online games,474
974,Diversified,187
975,Diversified,187
976,Real estate,560
976,Investments,360
977,Oil & gas,463
978,Art,31
978,Car dealerships,92
979,Software,619
979,Investments,360
980,Pharmaceuticals,517
981,Spirits,638
982,Real estate,560
983,Hair care products,295
984,Real estate,560
985,Private equity,549
986,Drugstores,192
987,Shopping centers,605
988,Private equity,549
989,Copper,152
989,Education,200
990,Used cars,723
991,Frozen foods,269
992,Banking,49
993,Hearing aids,308
994,Real estate,560
995,Chemicals,109
996,Fashion retail,232
